"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"bal";0,0010148494713119;0;0;0;0;0,00209682284466333;0;0;0;0;0;0;0;0;0;0;0;0;0,010402207080947
"ba³";0;0;0;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0,0180943036960645;0;0
"bardziej";0,0036699684042611;0;0;0;0;0,00303306995048224;0,00198352154331228;0;0;0,0022685505518919;0;0;0,0155741192875166;0;0;0;0;0;0
"bardzo";0,00287576889634486;0;0,00117814482185931;0;0;0,00254646262677466;0;0,00249537618518813;0;0,00380919615548153;0,00115665505579536;0;0;0;0,0118461814505634;0,00595581498343245;0,00300279251253837;0;0
"bella";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0869364231718514;0,0751396383323761;0,087581591432867;0,0790287016445011
"bella,";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0147125138824444;0;0,0230559741361249;0,010402207080947
"bellatriks";0;0,00408430216675219;0;0;0,00309287457923627;0;0;0,0030821354313917;0;0;0;0;0;0;0;0;0;0;0
"bellê";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0220687708236665;0,00741772984045245;0;0,020804414161894
"bellê,";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0220687708236665;0,0148354596809049;0;0,010402207080947
"bellê.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00904715184803227;0;0,012687216849389
"belli";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0248389780491004;0,0500930922215841;0,0194625758739704;0,052685801096334
"belli,";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0448608772575081;0;0,0562411690639582;0
"belli.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00904715184803227;0;0,012687216849389
"bez";0,00109799740197102;0,00110473358235121;0;0,00648906572696388;0;0,00113430912707558;0,00445079070459109;0;0;0,00169678750457713;0,0015456787461223;0;0;0;0;0;0;0;0
"bêd¹";0,00293597472340888;0;0;0,00289189101885319;0;0;0;0;0;0,0022685505518919;0;0,030093740914941;0,00519137309583888;0;0;0;0;0;0
"bêd¹c";0;0;0;0;0;0;0,00548499487687421;0;0,0391612501870945;0;0;0;0;0;0,0292633517881586;0;0;0;0
"bêdzie";0,00300493862349957;0,000604674765955743;0,00258523244198783;0,00118392776997941;0,00183158163718069;0;0,000812045205773726;0,00273783296807739;0;0,000928734858429079;0,00169205127640834;0;0,00212532586201156;0;0;0;0;0,00341340214201856;0
"bia³¹";0;0;0;0;0;0;0;0;0;0,00382559188862613;0,0139396030619896;0;0;0;0;0;0;0;0
"bibliotece";0;0;0,0070992951113521;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"bibliotece.";0;0;0,00354964755567605;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"biblioteki";0;0;0;0,00487676803820358;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"biegn¹";0;0;0,00354964755567605;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"biegnie";0,0020296989426238;0;0,00291034427619938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,010402207080947
"bierze";0;0;0;0,00337526653670208;0;0,00177002166412881;0;0;0;0;0,00723581817632055;0;0;0;0;0;0,00626163652769801;0;0
"bij¹c¹";0;0;0;0,00487676803820358;0;0;0,00668986099576434;0;0;0;0;0;0;0;0;0;0;0;0
"billa";0,0020296989426238;0,00612645325012829;0;0;0,00309287457923627;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bitwa";0;0,0020421510833761;0;0;0;0;0;0;0;0,00313659012099226;0,00571451719468332;0;0;0;0;0;0;0;0
"bitwy";0;0,00249074195816226;0;0;0;0;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
"blizna";0,00247555450719785;0;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"b³¹d";0,00123777725359893;0;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"bohaterów";0;0;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0,00897217545150162;0;0;0
"boi";0,000733993680852219;0,00147699341913821;0;0,00289189101885319;0;0,00151653497524112;0;0,00222916599369933;0;0;0;0;0;0;0;0;0;0;0
"boj¹";0;0;0;0;0;0;0;0;0;0,00382559188862613;0,00348490076549741;0;0;0;0;0;0;0;0
"bola³a";0,00123777725359893;0;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
