"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"g³¹b";0,00123777725359893;0,00249074195816226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"g³os";0,00257003907786995;0;0,00491350276162532;0;0;0,00177002166412881;0;0;0;0;0;0;0;0;0;0,0186292335368253;0;0;0
"g³osy";0,00247555450719785;0;0;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"g³ow¹";0;0;0;0;0,00377227353477768;0;0;0;0;0;0;0;0,0087545215995784;0;0;0;0;0;0
"g³owê";0,0020296989426238;0,0020421510833761;0;0;0,00309287457923627;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"go,";0;0;0,00136385520594927;0;0,00144939316311682;0,00196524017865132;0;0,00288872109593423;0;0,0014698792855637;0;0;0,00336368602006357;0;0;0,00689462714609716;0;0;0,00487471684938901
"go.";0;0,00172387079251809;0,00491350276162532;0;0;0;0;0;0;0;0,00241193939210685;0;0;0;0;0;0;0,00973128793698522;0
"godryka";0;0,00498148391632452;0;0;0;0,00511484647786391;0;0;0;0;0;0;0;0;0;0;0;0;0
"godryka.";0;0,00249074195816226;0;0;0;0,00767226971679587;0;0;0;0;0;0;0;0;0;0;0;0;0
"godzi";0;0,00249074195816226;0;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"godziny";0,00123777725359893;0;0;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"goœci";0,0010148494713119;0;0;0;0;0;0;0;0,0391612501870945;0;0,00285725859734166;0;0;0;0;0;0;0;0
"gra";0,00171335938524664;0;0;0;0,00522166669789451;0;0;0;0;0,00264773558709492;0,00241193939210685;0;0;0;0;0;0;0;0
"graj¹";0;0;0;0;0,00377227353477768;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"grimmauld";0;0,00612645325012829;0;0;0,00309287457923627;0;0;0,0030821354313917;0;0;0;0;0;0;0;0;0;0;0
"grobu";0,0020296989426238;0,0020421510833761;0;0;0;0,00209682284466333;0;0;0;0;0;0;0;0;0;0;0;0;0
"grozi";0;0;0;0,00487676803820358;0,00377227353477768;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"grób";0,00123777725359893;0;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"grupa";0;0;0;0;0;0;0;0,00375917536278193;0;0,00382559188862613;0;0;0;0;0;0;0;0;0
"grupê";0;0;0;0,00487676803820358;0;0;0;0,00375917536278193;0;0;0;0;0;0;0;0;0;0;0
"gryffindor";0;0;0,00582068855239875;0,00399844596504869;0;0;0;0,0030821354313917;0;0;0;0;0;0;0;0;0;0;0
"gryffindoru";0,00247555450719785;0;0;0;0;0;0;0,0112775260883458;0;0;0;0;0;0;0;0;0;0;0
"gryffindoru,";0;0;0,00354964755567605;0;0;0;0;0,00375917536278193;0;0;0;0;0;0;0;0;0;0;0
"gryffindoru.";0,000856679692623318;0;0,00245675138081266;0;0;0,00177002166412881;0;0,00260176795537452;0;0;0;0;0;0;0;0;0;0;0
"gryfoni";0,00171335938524664;0;0;0;0,00522166669789451;0;0,00231506438047743;0,00260176795537452;0;0;0;0;0;0;0;0;0;0;0
"gryfonów.";0;0;0;0;0;0,00255742323893196;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"grzbiet";0;0,00249074195816226;0;0;0;0;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
"gwiazd,";0,00123777725359893;0;0;0;0;0;0;0;0;0,00382559188862613;0;0;0;0;0;0;0;0;0
"hagrid";0,00164699610295653;0,00220946716470243;0,00944637764843267;0,00648906572696388;0,00334627779648312;0;0,00445079070459109;0,00666931755271288;0;0;0;0;0;0;0;0;0;0;0
"hagrid,";0;0;0,00354964755567605;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"hagrida";0,00146798736170444;0;0,00420983479465841;0,00867567305655956;0;0;0,00198352154331228;0,00222916599369933;0;0;0;0;0;0;0;0;0;0;0
"hagrida,";0,00190125573100887;0,00127527991773192;0;0;0,00386286878681168;0,00130942126986018;0,00171263132103237;0,00384945604796859;0;0;0;0;0;0;0;0;0;0;0
"hagrida.";0,00171335938524664;0;0;0,00675053307340416;0;0;0,00231506438047743;0,00520353591074904;0;0;0;0;0;0;0;0;0;0;0
"hagridem";0,0010148494713119;0,0020421510833761;0,00291034427619938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hagridem,";0,00123777725359893;0;0;0;0;0;0;0,00375917536278193;0;0;0;0;0;0;0;0;0;0;0
"hagridowi";0;0,00249074195816226;0;0;0,00377227353477768;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"harry";0,0380465705318166;0,0602909764930567;0,0490987874141739;0,0543391860208168;0,0695708718296076;0,040287423662352;0,0385559478921808;0,0548857008227503;0;0;0;0;0;0;0;0;0;0;0
"harry'ego";0,011413971159545;0,0124409951493609;0,0122746968535435;0,0112425902112035;0,0057975726524673;0,0068783406252796;0,00899638784150886;0,012999244931704;0;0;0;0;0;0;0;0;0;0;0
"harry'ego).";0;0;0;0;0,00377227353477768;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"harry'ego,";0,00285349278988625;0,00382799850749566;0,00136385520594927;0,00187376503520058;0,00434817948935047;0,00393048035730263;0,00385559478921808;0,00288872109593423;0;0;0;0;0;0;0;0;0;0;0
"harry'ego.";0,00164699610295653;0,00110473358235121;0,00944637764843267;0,00432604381797592;0;0,00340292738122673;0;0,00166732938817822;0;0;0;0;0;0;0;0,00397948229664636;0;0;0
"harry'emu";0,00570698557977249;0,00382799850749566;0,00272771041189855;0,00374753007040116;0,0115951453049346;0,000982620089325658;0,0102815861045815;0,00288872109593423;0;0;0;0;0;0;0;0;0;0;0
"harry'emu,";0,000856679692623318;0,00517161237755426;0;0,00337526653670208;0;0;0;0,00520353591074904;0;0;0;0;0;0;0;0;0;0;0
"harry'emu.";0;0,00249074195816226;0;0;0;0;0;0,0150367014511277;0;0;0;0;0;0;0;0;0;0;0
"harry,";0,00523140344812479;0,00478499813436958;0,00409156561784782;0,00562129510560174;0,00434817948935047;0,00589572053595395;0,00642599131536347;0,0101105238357698;0;0;0;0;0;0;0;0;0;0;0
"harry.";0;0,00498148391632452;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"harry’ego";0;0,00249074195816226;0;0;0;0;0;0,00751835072556386;0;0;0;0;0;0;0;0;0;0;0
"harrym";0;0,00147699341913821;0,00210491739732921;0,00578378203770638;0,00223693312259724;0;0;0,0111458299684967;0;0;0;0;0;0;0;0;0;0;0
"harrym,";0;0,0020421510833761;0,00291034427619938;0;0;0;0;0,0030821354313917;0;0;0;0;0;0;0;0;0;0;0
"harrym.";0,00123777725359893;0;0;0;0;0;0;0,0112775260883458;0;0;0;0;0;0;0;0;0;0;0
"hedwiga.";0,00123777725359893;0,00249074195816226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"helgi";0;0,00249074195816226;0;0;0,00377227353477768;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hermiona";0,00665814984306791;0,0200969921643522;0,0163662624713913;0,00562129510560174;0,0115951453049346;0,0068783406252796;0,0141371808937996;0,0231097687674738;0;0;0;0;0;0;0;0;0;0;0
"hermiona,";0,00219599480394205;0,00110473358235121;0,00157439627473878;0,00216302190898796;0,00167313889824156;0,00226861825415115;0;0,00166732938817822;0;0;0;0;0;0;0;0;0;0;0
"hermiona.";0,0020296989426238;0;0;0,00399844596504869;0;0,00419364568932666;0;0;0;0;0;0;0;0;0;0;0;0;0
"hermion¹";0,000475582131647708;0,00191399925374783;0,00272771041189855;0,00187376503520058;0,00144939316311682;0,00196524017865132;0,00257039652614539;0,00144436054796711;0;0;0;0;0;0;0;0;0;0;0
"hermion¹,";0,0010148494713119;0;0;0;0;0,00419364568932666;0,00548499487687421;0;0;0;0;0;0;0;0;0;0;0;0
"hermion¹.";0;0,0020421510833761;0;0;0;0;0,00274249743843711;0,0030821354313917;0;0;0;0;0;0;0;0;0;0;0
"hermionê";0,000475582131647708;0,00382799850749566;0,00272771041189855;0,00374753007040116;0,00144939316311682;0,00196524017865132;0,00385559478921808;0,00144436054796711;0;0;0;0;0;0;0;0;0;0;0
"hermionê,";0,00146798736170444;0,00295398683827642;0,00210491739732921;0,00289189101885319;0;0;0,00198352154331228;0;0;0;0;0;0;0;0;0;0;0;0
"hermionie";0,00190125573100887;0,00127527991773192;0,00181744810133599;0,00249694446354719;0,00579430318021752;0;0;0,00192472802398429;0;0;0;0;0;0;0;0;0;0;0
"hermionie,";0;0;0;0;0,00377227353477768;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"hermiony";0;0,00344774158503617;0;0,00337526653670208;0,00261083334894725;0;0,00463012876095486;0;0;0;0;0;0;0;0;0;0;0;0
"hermiony,";0,0010148494713119;0;0;0,00399844596504869;0;0,00419364568932666;0;0;0;0;0;0;0;0;0;0;0;0;0
"hermiony.";0,00123777725359893;0;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"historia";0;0;0,00354964755567605;0;0;0;0;0;0;0;0;0;0,0087545215995784;0;0;0;0;0;0
"historiê";0;0,0020421510833761;0;0;0;0;0;0;0;0,00313659012099226;0;0;0;0;0;0;0;0;0,010402207080947
"historiê,";0;0,00249074195816226;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"historiê.";0;0;0;0,00487676803820358;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"historii";0;0;0;0,00487676803820358;0;0;0;0;0;0,00382559188862613;0;0;0;0;0;0;0;0;0
"hogsmeade";0,00171335938524664;0,00172387079251809;0;0;0,00522166669789451;0;0,00231506438047743;0;0;0;0;0;0;0;0;0;0;0;0
"hogsmeade,";0;0;0;0;0,00309287457923627;0;0,00274249743843711;0,0030821354313917;0;0;0;0;0;0;0;0;0;0;0
"hogsmeade.";0,00171335938524664;0;0;0;0,00261083334894725;0,00177002166412881;0,00694519314143229;0;0;0;0;0;0;0;0;0;0;0;0
"hogwarcie";0,00164699610295653;0,00110473358235121;0,00157439627473878;0,00216302190898796;0;0,00113430912707558;0,00148359690153036;0,00166732938817822;0;0;0;0;0;0;0;0;0;0;0
"hogwarcie,";0;0;0;0;0,00377227353477768;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"hogwarcie.";0,00293597472340888;0;0,00210491739732921;0;0,00223693312259724;0,00151653497524112;0;0,00222916599369933;0;0;0;0;0;0;0;0;0;0;0
"hogwart.";0;0,00498148391632452;0;0;0;0;0;0,00375917536278193;0;0;0;0;0;0;0;0;0;0;0
"hogwartu";0,000548998700985511;0,00220946716470243;0,00157439627473878;0,00216302190898796;0;0,00226861825415115;0,00296719380306072;0,00666931755271288;0;0;0;0;0;0;0;0;0;0;0
"hogwartu,";0;0;0;0;0,00783250004684176;0,00708008665651523;0,00231506438047743;0,00260176795537452;0;0;0;0;0;0;0;0;0;0;0
"hogwartu.";0,00190125573100887;0,00382583975319577;0,00363489620267198;0,00249694446354719;0;0;0,00171263132103237;0,00769891209593717;0;0;0;0;0;0;0;0;0;0;0
"horkruksa.";0;0,00408430216675219;0;0,00399844596504869;0,00309287457923627;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hotelu";0;0;0,00354964755567605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,012687216849389
"hufflepuff.";0;0,00249074195816226;0;0;0,00377227353477768;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"hukiem";0,00123777725359893;0,00249074195816226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"huncwotów";0,00247555450719785;0;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"huncwotów,";0;0;0;0;0,00377227353477768;0;0,00668986099576434;0;0;0;0;0;0;0;0;0;0;0;0
"huncwotów.";0,00123777725359893;0;0;0;0;0;0,00668986099576434;0;0;0;0;0;0;0;0;0;0;0;0
"ich";0,00259936675179167;0,00287684516578661;0,00186358971494572;0,00204826977678719;0;0,00187973104318541;0,00210733419877487;0,00276303058431188;0,0100304975833843;0,00562369475817543;0,00329327495763477;0;0,00643465882707673;0;0;0,00282627279973812;0,00284989067828747;0,0014763502936583;0,00266435092058646
"ich,";0;0,00249074195816226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00904715184803227;0;0
"id¹";0,0012324723841478;0,000826689042945762;0;0,0032372447807846;0,00375610631359329;0;0,0011101982615873;0,00249537618518813;0;0,00634866025913588;0,00346996516738607;0;0;0;0;0;0,00300279251253837;0;0
"id¹c";0,00123777725359893;0,00249074195816226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"idzie";0,00105868835962983;0,000710122253494036;0,00202404244493164;0,00695194758675843;0,00537746468383405;0,00218740020131391;0,00190731085181508;0,00214351717258385;0;0,00218138850072137;0,00596136964735766;0;0;0;0;0;0;0;0
"im,";0;0,00295398683827642;0;0,00289189101885319;0;0;0;0,00222916599369933;0;0;0;0,060187481829882;0,00519137309583888;0;0;0;0;0;0
"imieniu";0,00123777725359893;0;0;0;0;0;0;0;0,0477636399035821;0;0;0;0;0;0;0;0;0;0
"imiê";0;0,0020421510833761;0;0;0;0;0;0;0;0;0,00285725859734166;0;0;0;0,0292633517881586;0;0;0;0
"imiê,";0,00123777725359893;0;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"informacji";0,000856679692623318;0,00172387079251809;0,00245675138081266;0;0;0,00177002166412881;0;0;0;0;0;0;0;0;0;0;0;0;0
"informuj¹";0;0,00249074195816226;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"informuje";0,000733993680852219;0,00147699341913821;0;0;0,00223693312259724;0;0,00198352154331228;0;0;0,0022685505518919;0;0;0;0;0;0;0;0;0
"inne";0,000548998700985511;0,00110473358235121;0;0;0;0,00113430912707558;0;0,00166732938817822;0;0,00339357500915426;0,0015456787461223;0;0;0;0;0;0,00802547404671856;0;0
"innej";0;0;0;0;0;0;0;0;0;0,00382559188862613;0;0;0;0;0;0;0,00904715184803227;0;0
"inni";0,000733993680852219;0,00147699341913821;0,00210491739732921;0;0;0;0;0,00222916599369933;0;0,0045371011037838;0;0;0;0;0;0;0;0;0
"inny";0;0;0;0,00487676803820358;0;0;0;0;0;0,00382559188862613;0;0;0;0;0;0;0;0;0
"inny,";0;0;0;0;0;0;0;0,00375917536278193;0;0,00382559188862613;0;0;0;0;0;0;0;0;0
"innych";0,000733993680852219;0,00147699341913821;0;0;0,00223693312259724;0,00151653497524112;0;0;0;0,0022685505518919;0;0;0;0;0;0;0;0;0
"innymi";0,000733993680852219;0;0;0;0;0;0;0,00222916599369933;0;0;0,0020665229812835;0;0;0;0;0;0,00536490088734324;0;0,00752343522873525
"istnieje";0;0,0020421510833761;0;0;0;0;0;0;0;0;0,00285725859734166;0,041608828323788;0;0;0;0;0;0;0
"iœæ";0,000548998700985511;0,00110473358235121;0,00314879254947756;0;0,00334627779648312;0;0,00445079070459109;0;0;0,00339357500915426;0,0030913574922446;0;0;0;0;0;0;0;0
"jacob";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0588500555297774;0,00741772984045245;0,0576399353403123;0
"jacob,";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00904715184803227;0,0281205845319791;0
"jacoba";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0147125138824444;0,00741772984045245;0;0,010402207080947
"jacoba,";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00897217545150162;0;0,0281205845319791;0
"jad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00904715184803227;0;0,012687216849389
"jad¹";0;0;0;0;0;0;0,00274249743843711;0;0;0,00313659012099226;0,00571451719468332;0;0;0;0;0;0;0;0
"jadis.";0;0;0;0;0;0;0;0;0;0;0,00348490076549741;0;0;0,051554404975295;0;0;0;0;0
"jajo";0,00371333176079678;0;0,00354964755567605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"jak";0,00168958838866458;0,00156918827224724;0,0033544614869023;0,00204826977678719;0,000792187962450794;0,00161119803701606;0,00105366709938744;0,00157887461960679;0,00501524879169216;0,000401692482726816;0,00146367775894878;0;0,00459618487648338;0,00541328441008043;0;0;0,000949963559429156;0;0,00266435092058646
"jak¹";0;0;0;0;0;0,00209682284466333;0;0;0;0,00627318024198452;0,00285725859734166;0;0;0;0;0;0;0;0
"jakby";0,0020296989426238;0;0,00291034427619938;0;0;0;0;0;0;0;0;0;0;0;0;0,00735625694122218;0;0;0
"jaki";0;0;0;0;0;0;0;0;0;0,00313659012099226;0;0;0;0;0;0,00735625694122218;0;0,0115279870680625;0
"jakich";0;0;0;0,00487676803820358;0;0;0;0;0;0,00382559188862613;0;0;0;0;0;0;0;0;0
"jakie";0,00190125573100887;0;0;0;0;0,00261884253972036;0,00171263132103237;0,00192472802398429;0;0,00391746763892209;0,0017842972239511;0;0;0;0;0;0;0;0
"jakiego";0;0;0,00354964755567605;0;0;0;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
"jakiegoœ";0,00123777725359893;0;0,0070992951113521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"jakimœ";0,0020296989426238;0;0,00291034427619938;0,00399844596504869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"jakiœ";0,00495110901439571;0;0;0,00487676803820358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"jako";0,00120197544939983;0,000604674765955743;0,00258523244198783;0;0,00183158163718069;0,00124172581859258;0;0,00091261098935913;0;0,00371493943371632;0,000846025638204172;0;0,00425065172402312;0;0;0,00871266182106396;0;0,00341340214201856;0
"jakoby";0,00123777725359893;0;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"james";0;0;0;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0,038061650548167
"jamesa.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0179443509030032;0;0;0,012687216849389
"jasper";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0269165263545049;0,00904715184803227;0;0
"jaw,";0,00371333176079678;0;0;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"j¹,";0;0;0;0;0;0;0;0;0;0,00382559188862613;0;0;0;0;0;0,00897217545150162;0;0;0
"j¹.";0;0;0;0;0;0;0,00334493049788217;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
"jeden";0;0,00147699341913821;0;0;0;0;0,00198352154331228;0;0,0283235208611209;0,0022685505518919;0;0;0;0;0,0211648287753431;0;0;0;0
"jedenastej";0;0;0;0;0,00377227353477768;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"jednak";0,00505308698721364;0,00203363500835101;0;0,00298632888613707;0;0,00156605908517109;0,00614488683264868;0;0;0,00624702014343867;0,00569068680448437;0;0,00357393537855757;0;0;0,00732558025107657;0,0073867967991357;0,00573995682010761;0,0155382424856819
"jednak,";0,000733993680852219;0;0;0,00289189101885319;0;0;0;0;0;0,0045371011037838;0;0;0;0;0;0,005320440382752;0,00536490088734324;0;0
"jednak¿e";0,00171335938524664;0;0;0;0;0;0;0;0;0;0,00241193939210685;0;0,00605910380982099;0;0;0;0;0,00973128793698522;0
"jedn¹";0,00126750382067258;0;0,00363489620267198;0;0;0,00130942126986018;0;0;0;0,00195873381946105;0;0;0;0;0,0182743407991476;0,00459382600199566;0;0;0
"jednego";0,00293597472340888;0,00295398683827642;0;0;0,00223693312259724;0;0,00198352154331228;0;0;0;0;0;0,00519137309583888;0;0;0;0;0;0
"jednej";0,00608909682787141;0;0;0;0;0;0;0;0;0;0,00285725859734166;0;0;0;0;0;0;0,0115279870680625;0
"jedno";0;0;0;0;0;0;0,00334493049788217;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
"jednoczeœnie";0,0010148494713119;0;0;0;0;0,00419364568932666;0,00274249743843711;0;0;0;0;0;0;0;0;0;0;0;0
"jednym";0,0030445484139357;0,00612645325012829;0;0;0;0;0;0;0;0;0,00285725859734166;0;0;0;0;0;0;0;0
"jedynego";0;0;0;0;0,00377227353477768;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"jedynie";0,00247555450719785;0,00249074195816226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"jedynym";0;0;0,00245675138081266;0;0;0,00354004332825762;0;0;0;0;0;0;0,00605910380982099;0;0;0;0,00626163652769801;0;0
"jego";0,00292902169083504;0,00152102768983795;0,00216767224868709;0,000744527067398155;0,00230362381829115;0,00331871474688264;0,00229798931101161;0,00114781256223882;0;0,00408832177645488;0,000798049935977207;0;0;0,00393535735624739;0,00544895633941946;0,00205464790146618;0,00345302943514743;0,00429311711590624;0,00581080109633404
"jej,";0;0;0;0;0;0;0;0;0;0,00382559188862613;0;0;0;0;0;0,00897217545150162;0;0;0
"jeszcze";0,00316875955168146;0;0;0;0;0;0,00171263132103237;0,00192472802398429;0;0;0,00713718889580442;0;0,0044823854790362;0;0;0;0,00463221452011819;0;0
"jeœli";0;0,00191399925374783;0;0,00187376503520058;0,00144939316311682;0;0,00257039652614539;0,00144436054796711;0;0,0014698792855637;0,00267795603743259;0;0;0;0;0,00344731357304858;0;0;0
"jeziora";0,00247555450719785;0;0;0;0;0;0,00668986099576434;0;0;0;0;0;0;0;0;0;0;0;0
"jezioro.";0,0010148494713119;0;0;0;0;0,00209682284466333;0,00274249743843711;0;0;0;0;0;0;0;0;0;0;0;0
"jêcz¹ca";0,00123777725359893;0;0;0;0,00377227353477768;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"jêki";0,00123777725359893;0;0;0;0;0;0;0;0;0;0;0;0,0087545215995784;0;0;0;0;0;0
"jêzyk";0,00123777725359893;0;0;0;0;0,00255742323893196;0;0;0;0;0;0;0;0;0;0;0;0;0
"julia";0;0;0;0;0;0;0;0;0;0;0;0,050748867397556;0;0;0,0356915111367427;0;0;0;0
"ju¿";0,0035469864787128;0,000839705207519161;0,00418843122089339;0,00164410749340088;0,00063587432671602;0,000431092752206688;0,00112767826014932;0,000633666429748256;0;0,00257944779883389;0,00352459954057399;0;0,00590283337253362;0;0;0,00302479444918505;0;0,00237007703594153;0
"ju¿,";0;0,00249074195816226;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00897217545150162;0;0;0
"kalormenu.";0;0;0;0;0;0;0;0;0,0477636399035821;0;0;0,050748867397556;0;0;0;0;0;0;0
"kamienia";0;0,00249074195816226;0,00354964755567605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kamiennego";0;0;0;0;0;0;0;0;0;0;0,0104547022964922;0;0,0087545215995784;0;0;0;0;0;0
"kamieñ";0;0,00344774158503617;0,0122837569040633;0;0;0,00177002166412881;0;0;0;0;0,00241193939210685;0;0;0;0;0;0;0;0
"kamieñ.";0;0;0,0106489426670281;0;0;0;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
"kapitana";0;0;0,00354964755567605;0;0;0;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
"karê";0;0;0;0;0;0;0;0,0112775260883458;0;0,00382559188862613;0;0;0;0;0;0;0;0;0
"kar³em";0;0;0;0;0;0;0;0;0;0,00382559188862613;0,00348490076549741;0;0;0;0;0;0;0;0
"karze³";0;0;0;0;0;0;0;0;0;0,0114767756658784;0,00696980153099482;0;0;0;0;0;0;0;0
"kaspian";0;0;0;0;0;0;0;0;0;0,0688606539952704;0;0;0,0262635647987352;0;0;0;0;0;0
"kaspiana";0;0;0;0;0;0;0;0;0;0,0156829506049613;0;0;0,00717780326879361;0;0,0585267035763171;0;0;0;0
"kaza³";0;0;0,00291034427619938;0;0;0,00209682284466333;0;0,0030821354313917;0;0;0;0;0;0;0;0;0;0;0
"ka¿d¹";0;0;0,00210491739732921;0;0,00223693312259724;0;0;0;0;0;0,0020665229812835;0;0,00519137309583888;0;0;0,005320440382752;0;0;0
"ka¿de";0,0010148494713119;0,0020421510833761;0;0;0;0;0;0;0;0;0,00285725859734166;0;0;0;0;0;0;0;0
"ka¿dego";0;0;0;0;0;0;0;0;0;0;0,00348490076549741;0,050748867397556;0;0;0;0;0;0;0
"ka¿dy";0,000856679692623318;0,00344774158503617;0;0,00337526653670208;0;0;0;0;0;0;0,0048238787842137;0;0;0;0;0;0;0;0
"ka¿e";0,00332907492153396;0;0;0;0,00434817948935047;0,000982620089325658;0,00128519826307269;0,00144436054796711;0;0,0014698792855637;0,00401693405614888;0;0;0;0;0;0;0,00540228360798089;0
"kedavra";0;0,00249074195816226;0;0;0,00377227353477768;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"kiedy";0,00292104768835172;0,000839705207519161;0,000598347317270484;0,00082205374670044;0,00063587432671602;0,00172437100882675;0,000563839130074658;0,00126733285949651;0;0,00322430974854236;0,001762299770287;0;0;0;0;0,00151239722459252;0,00457510692453337;0;0,00427724840080073
"kiedyœ";0;0,00147699341913821;0;0;0;0;0;0;0;0,0022685505518919;0,0020665229812835;0;0,0103827461916778;0;0;0;0,0107298017746865;0;0
"kilka";0;0,00147699341913821;0,00420983479465841;0;0,00223693312259724;0;0;0;0;0;0,0103326149064175;0;0;0;0;0;0;0;0,00752343522873525
"kilkoma";0;0;0;0;0;0,00255742323893196;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
"kilku";0,000633751910336292;0,00127527991773192;0;0;0;0;0,00171263132103237;0,00384945604796859;0;0,00195873381946105;0,0017842972239511;0;0;0;0;0;0;0;0
"kim";0;0;0;0;0;0,00209682284466333;0;0;0;0;0;0;0,00717780326879361;0;0,0585267035763171;0;0;0;0
"king";0;0,00249074195816226;0,00354964755567605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"king's";0;0;0;0,00399844596504869;0;0,00209682284466333;0;0,0030821354313917;0;0;0;0;0;0;0;0;0;0;0
"kings'";0;0;0;0;0,00377227353477768;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"klasa";0,00123777725359893;0;0;0;0;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"klasy";0,00123777725359893;0;0;0;0;0;0;0;0;0,00382559188862613;0;0;0;0;0;0;0;0;0
"k³amie";0;0;0;0;0;0;0;0,00375917536278193;0;0;0,00348490076549741;0;0;0;0;0;0;0;0
"k³óc¹";0;0;0;0;0;0,00255742323893196;0;0,00375917536278193;0;0;0;0;0;0;0;0;0;0;0
"k³óci";0;0;0;0;0,00754454706955537;0;0,00334493049788217;0;0;0;0;0;0;0;0;0;0;0;0
"knot";0,00293597472340888;0;0;0,00578378203770638;0,00223693312259724;0;0,00198352154331228;0,00445833198739866;0;0;0;0;0;0;0;0;0;0;0
